id,email,name,join_date
U001,user001@mail.local,User 1,2024-02-27
U002,user002@mail.local,User 2,2024-01-13
U003,user003@mail.local,User 3,2024-05-20
U004,user004@mail.local,User 4,2024-05-05
U005,user005@mail.local,User 5,2024-04-24
U006,user006@mail.local,User 6,2024-03-12
U007,user007@mail.local,User 7,2024-02-22
U008,user008@mail.local,User 8,2024-10-06
U009,user009@mail.local,User 9,2024-02-14
U010,user010@mail.local,User 10,2024-08-04
U011,user011@mail.local,User 11,2024-01-17
U012,user012@mail.local,User 12,2024-01-16
U013,user013@mail.local,User 13,2024-02-17
U014,user014@mail.local,User 14,2024-04-21
U015,user015@mail.local,User 15,2024-04-29
U016,user016@mail.local,User 16,2024-09-15
U017,user017@mail.local,User 17,2024-01-14
U018,user018@mail.local,User 18,2024-10-14
U019,user019@mail.local,User 19,2024-04-11
U020,user020@mail.local,User 20,2024-10-06
U021,user021@mail.local,User 21,2024-08-02
U022,user022@mail.local,User 22,2024-04-22
U023,user023@mail.local,User 23,2024-08-17
U024,user024@mail.local,User 24,2024-05-22
U025,user025@mail.local,User 25,2024-01-04
U026,user026@mail.local,User 26,2024-03-22
U027,user027@mail.local,User 27,2024-08-04
U028,user028@mail.local,User 28,2024-06-23
U029,user029@mail.local,User 29,2024-05-22
U030,user030@mail.local,User 30,2024-03-20
